date,open,high,low,close,volume
2022-05-10,33.74,33.74,33.74,33.74,6800
2022-05-11,38.8,38.8,38.8,38.8,1500
2022-05-12,44.58,44.58,44.58,44.58,5400
2022-05-13,37.92,37.92,37.92,37.92,2100
2022-05-16,32.29,32.29,32.29,32.29,1000
2022-05-17,27.47,27.47,27.47,27.47,200
2022-05-18,23.7,27.39,23.7,23.86,20900
2022-05-19,24.42,24.42,21.37,21.37,33500
2022-05-20,19.36,20.89,18.88,20.89,29700
2022-05-23,18.48,21.93,17.43,19.68,9200
2022-05-24,19.84,19.84,19.68,19.68,4000
2022-05-25,19.68,20.4,19.68,20.4,7500
2022-05-26,19.84,21.69,19.6,21.69,16500
2022-05-27,19.76,20.08,19.76,20.0,600
2022-05-30,20.24,22.89,20.24,22.89,16200
2022-05-31,22.89,25.3,22.89,25.3,22800
2022-06-01,26.11,26.11,25.55,25.55,800
2022-06-02,27.31,29.64,24.1,24.1,6500
2022-06-03,24.18,24.26,23.38,24.18,5200
2022-06-06,23.94,23.94,23.94,23.94,0
2022-06-07,23.3,23.3,22.49,22.49,1500
2022-06-08,23.14,23.3,23.14,23.3,2800
2022-06-09,21.69,21.69,21.69,21.69,2100
2022-06-10,21.69,22.49,21.69,21.69,1900
2022-06-13,21.77,21.77,21.77,21.77,0
2022-06-14,21.77,21.77,21.77,21.77,0
2022-06-15,21.77,21.77,21.77,21.77,1000
2022-06-16,21.77,21.77,21.77,21.77,2600
2022-06-17,21.69,21.69,20.89,20.97,2300
2022-06-20,20.56,20.56,20.16,20.24,1200
2022-06-21,20.24,22.41,20.24,22.41,3400
2022-06-22,23.3,23.3,23.3,23.3,2000
2022-06-23,23.3,23.3,23.3,23.3,0
2022-06-24,23.22,23.46,23.22,23.3,12700
2022-06-27,23.7,26.75,23.7,26.75,41500
2022-06-28,29.64,29.64,26.51,26.51,1100
2022-06-29,26.91,29.32,26.51,26.91,2300
2022-06-30,27.71,29.88,24.26,29.88,10400
2022-07-01,28.04,28.04,28.04,24.42,33300
2022-07-04,31.33,31.33,31.33,31.33,100
2022-07-05,26.67,26.67,26.67,26.67,11300
2022-07-06,29.72,29.72,29.72,29.72,300
2022-07-07,29.72,29.72,29.72,29.72,0
2022-07-08,29.72,29.72,29.72,29.72,0
2022-07-11,25.63,25.63,25.63,25.63,200
2022-07-12,28.12,29.4,28.12,29.4,9800
2022-07-13,29.24,29.24,29.24,29.24,0
2022-07-14,29.72,29.72,25.14,25.14,6700
2022-07-15,25.3,29.0,25.3,29.0,50800
2022-07-18,27.23,27.23,27.23,27.23,0
2022-07-19,27.23,27.23,27.23,27.23,0
2022-07-20,30.93,30.93,30.93,30.93,100
2022-07-21,26.35,28.92,26.35,28.92,40200
2022-07-22,26.99,26.99,26.99,26.99,0
2022-07-25,26.99,26.99,26.99,26.99,0
2022-07-26,28.12,28.12,28.12,28.12,200
2022-07-27,28.12,28.12,28.12,28.12,0
2022-07-28,28.92,28.92,28.92,28.92,300
2022-07-29,28.84,28.92,28.84,28.92,6400
2022-08-01,25.06,25.06,25.06,25.06,1000
2022-08-02,28.68,28.76,28.68,28.76,12300
2022-08-03,32.86,32.86,25.87,25.87,1700
2022-08-04,27.31,27.31,27.31,27.31,100
2022-08-05,24.98,25.87,24.98,25.87,1200
2022-08-08,28.84,28.84,28.84,28.84,2100
2022-08-09,28.84,28.84,28.84,28.84,0
2022-08-10,28.84,28.84,28.84,28.84,0
2022-08-11,28.84,28.84,28.84,28.84,0
2022-08-12,28.84,28.84,28.84,28.84,0
2022-08-15,28.84,28.84,28.84,28.84,100
2022-08-16,28.84,28.84,28.84,28.84,0
