date,open,high,low,close,volume
2021-12-27,14.15,14.15,14.15,14.15,100
2021-12-28,14.15,14.15,14.15,14.15,10
2021-12-29,16.21,16.21,16.21,16.21,100
2021-12-30,18.62,18.62,18.62,18.62,100
2021-12-31,21.36,21.36,21.36,21.36,100
2022-01-04,24.53,24.53,24.53,24.53,100
2022-01-05,28.14,28.14,28.14,28.14,500
2022-01-06,32.34,32.34,32.34,32.34,400
2022-01-07,37.14,37.14,37.14,37.14,60400
2022-01-10,42.63,42.63,42.03,42.63,93171
2022-01-11,48.9,48.9,36.29,39.46,69010
2022-01-12,38.17,38.17,33.63,35.09,66701
2022-01-13,35.69,35.77,30.54,30.71,55108
2022-01-14,30.02,34.14,29.17,32.51,30800
2022-01-17,31.74,31.74,30.88,30.88,16800
2022-01-18,30.11,30.88,30.02,30.37,16606
2022-01-19,30.02,33.03,30.02,32.6,11000
2022-01-20,32.6,32.6,31.74,32.17,6500
2022-01-21,33.03,34.31,33.03,33.8,18000
2022-01-24,33.54,33.54,32.17,32.17,10700
2022-01-25,32.17,33.46,31.14,31.74,16706
2022-01-26,32.0,32.6,32.0,32.17,3200
2022-01-27,30.88,31.74,30.71,31.74,4900
2022-01-28,32.34,32.34,30.88,30.88,6900
2022-02-07,31.74,31.83,31.74,31.83,3500
2022-02-08,34.23,34.23,31.83,32.51,3401
2022-02-09,32.17,33.03,32.17,32.25,23100
2022-02-10,31.91,32.17,31.74,32.17,6800
2022-02-11,32.0,32.51,32.0,32.25,10100
2022-02-14,31.74,32.17,31.74,32.08,13000
2022-02-15,31.74,32.34,30.37,32.34,4800
2022-02-16,31.74,32.0,31.4,32.0,12600
2022-02-17,32.08,32.34,31.74,32.34,6400
2022-02-18,32.17,32.17,32.0,32.0,400
2022-02-21,32.08,32.08,31.57,32.08,5500
2022-02-22,31.74,31.83,31.31,31.48,7900
2022-02-23,31.65,32.17,31.4,31.83,23900
2022-02-24,31.74,31.74,31.74,31.74,4000
2022-02-25,31.74,35.6,31.74,33.03,136400
2022-02-28,32.6,33.03,32.0,32.6,5400
2022-03-01,32.6,32.94,32.6,32.94,700
2022-03-02,32.25,32.25,31.4,31.4,13100
2022-03-03,31.48,32.08,31.48,31.57,11600
2022-03-04,31.83,32.51,31.14,31.91,9800
2022-03-07,32.08,32.08,31.65,31.65,14000
2022-03-08,31.57,31.74,31.05,31.74,13000
2022-03-09,31.57,31.57,31.48,31.48,6800
2022-03-10,31.4,31.65,31.4,31.48,7300
2022-03-11,31.48,31.48,31.48,31.48,100
2022-03-14,30.88,31.48,30.88,31.48,5200
2022-03-15,31.14,31.74,30.97,31.74,8700
2022-03-16,31.31,31.31,30.88,30.88,4300
2022-03-17,31.14,31.31,31.05,31.23,8100
2022-03-18,31.14,31.14,30.97,31.14,6500
2022-03-21,31.31,31.31,30.97,31.31,4300
2022-03-22,30.97,31.31,30.97,31.05,4200
2022-03-23,31.14,31.23,30.97,31.05,8300
2022-03-24,30.88,31.05,30.88,30.88,6900
2022-03-25,30.71,30.88,30.02,30.45,20900
2022-03-28,30.45,30.88,30.02,30.62,12700
2022-03-29,30.62,33.03,30.62,31.57,28600
