date,open,high,low,close,volume
2023-05-30,22.2,22.2,10.0,13.6,768400
2023-05-31,13.8,13.9,12.4,12.6,297400
2023-06-01,12.6,12.7,10.9,11.6,587300
2023-06-02,11.3,12.7,11.3,12.1,182337
2023-06-05,12.1,12.9,12.0,12.3,330000
2023-06-06,12.3,12.4,11.9,12.3,241500
2023-06-07,12.3,12.3,12.0,12.1,201100
2023-06-08,12.0,12.1,11.7,11.7,225400
2023-06-09,11.9,11.9,11.5,11.9,105200
2023-06-12,11.7,11.9,11.6,11.9,94500
2023-06-13,11.9,12.1,11.7,12.1,180805
2023-06-14,12.0,12.2,11.9,12.0,173100
2023-06-15,12.0,12.0,11.8,11.9,53500
2023-06-16,12.0,12.2,11.8,11.9,309200
2023-06-19,11.9,11.9,11.7,11.8,49900
2023-06-20,11.9,11.9,11.6,11.8,56860
2023-06-21,11.9,11.9,11.7,11.9,176339
2023-06-22,11.9,12.9,11.9,12.7,486900
2023-06-23,12.8,12.8,12.4,12.6,125200
2023-06-26,12.5,12.5,11.9,12.2,244100
2023-06-27,12.1,12.6,12.0,12.4,184911
2023-06-28,12.3,12.6,12.2,12.2,202200
2023-06-29,12.3,12.4,11.7,11.7,253712
2023-06-30,11.9,11.9,11.7,11.9,88700
2023-07-03,11.8,11.9,11.7,11.8,86050
2023-07-04,11.7,12.0,11.6,11.9,190900
2023-07-05,11.8,12.0,11.7,11.8,120316
2023-07-06,11.9,11.9,11.5,11.8,111300
2023-07-07,11.7,11.7,11.6,11.7,50208
2023-07-10,11.8,11.8,11.6,11.7,112500
2023-07-11,11.6,11.7,10.0,11.6,173402
2023-07-12,11.6,11.8,11.6,11.7,122937
2023-07-13,11.6,11.8,11.6,11.7,105600
2023-07-14,11.7,11.7,11.6,11.7,93407
2023-07-17,11.7,11.8,11.6,11.6,126302
2023-07-18,11.6,12.1,11.6,11.9,252505
2023-07-19,12.0,12.0,11.7,11.8,164401
2023-07-20,11.7,11.8,11.6,11.8,111204
2023-07-21,11.7,11.8,11.6,11.7,61601
2023-07-24,11.7,12.4,11.7,12.2,602740
2023-07-25,12.2,12.4,12.0,12.0,283500
2023-07-26,12.0,12.0,11.7,11.9,228000
2023-07-27,11.9,11.9,11.6,11.8,180200
2023-07-28,11.7,11.9,11.6,11.8,211605
2023-07-31,11.7,11.9,11.6,11.7,147301
2023-08-01,11.7,11.9,11.6,11.7,276002
2023-08-02,11.7,11.8,11.6,11.8,113700
2023-08-03,11.8,12.3,11.8,11.9,506200
2023-08-04,12.0,12.0,11.7,11.9,207100
2023-08-07,12.0,13.6,12.0,13.6,1228309
2023-08-08,14.4,14.8,13.5,14.8,1054755
2023-08-09,15.0,15.3,13.8,14.3,719530
2023-08-10,14.0,14.4,13.5,13.6,577546
2023-08-11,13.8,14.8,13.4,14.0,640367
2023-08-14,14.3,14.7,14.1,14.4,366727
2023-08-15,14.4,14.5,13.8,13.9,260703
2023-08-16,13.9,14.3,13.6,14.0,343808
2023-08-17,13.9,15.2,13.9,14.4,682546
2023-08-18,14.1,14.4,12.7,13.0,557120
2023-08-21,13.6,13.7,13.0,13.3,391291
2023-08-22,13.4,13.6,12.5,13.5,383116
2023-08-23,13.5,13.8,13.2,13.3,235600
2023-08-24,13.4,13.8,13.1,13.8,402172
2023-08-25,13.8,14.3,13.6,13.7,317701
2023-08-28,13.7,13.9,13.5,13.9,236193
2023-08-29,14.1,14.2,13.6,13.8,183900
2023-08-30,13.8,14.8,13.5,14.5,756900
2023-08-31,14.1,14.8,14.1,14.7,348452
2023-09-05,15.0,15.1,14.4,14.5,239333
2023-09-06,14.6,16.7,14.6,16.5,6035475
2023-09-07,16.5,16.9,15.9,16.4,411163
2023-09-08,16.4,16.4,15.7,15.9,2391361
2023-09-11,16.0,16.1,15.1,15.2,1437100
2023-09-12,15.5,16.1,15.1,16.1,1443505
2023-09-13,16.0,16.2,15.3,15.6,1031040
2023-09-14,15.3,15.6,14.3,14.9,1223300
2023-09-15,15.0,15.2,14.6,15.0,540727
2023-09-18,15.0,15.0,13.9,14.0,834174
2023-09-19,14.3,14.3,13.5,13.9,665702
2023-09-20,13.9,14.6,13.8,14.4,501466
2023-09-21,14.3,14.5,13.7,13.8,684709
2023-09-22,13.6,13.7,12.7,12.9,988563
2023-09-25,12.9,12.9,11.6,11.9,777018
2023-09-26,11.7,12.7,11.7,11.9,678665
2023-09-27,11.7,12.3,11.6,12.2,673054
2023-09-28,12.4,12.4,11.7,11.9,448460
2023-09-29,11.9,12.1,11.7,11.9,326200
2023-10-02,11.9,12.1,11.8,12.0,409150
2023-10-03,11.9,11.9,10.6,10.8,781752
2023-10-04,10.5,11.3,10.5,11.0,436900
2023-10-05,11.0,11.0,10.3,10.6,359368
2023-10-06,10.3,10.7,10.3,10.7,466714
2023-10-09,10.4,10.8,10.4,10.8,252501
2023-10-10,10.7,11.1,10.7,10.9,651814
2023-10-11,11.0,11.1,10.8,11.1,243200
2023-10-12,11.1,11.4,11.0,11.1,291623
2023-10-13,11.1,11.1,10.7,10.9,378200
2023-10-16,10.9,10.9,10.6,10.6,236711
