date,open,high,low,close,volume
2019-09-16,4.1,4.1,4.1,4.1,0
2019-09-17,4.1,4.1,4.1,4.1,0
2019-09-18,4.1,4.1,4.1,4.1,0
2019-09-19,4.1,4.1,4.1,4.1,0
2019-09-20,4.1,4.1,4.1,4.1,0
2019-09-23,4.1,4.1,4.1,4.1,0
2019-09-24,4.1,4.1,4.1,4.1,0
2019-09-25,4.1,4.1,4.1,4.1,0
2019-09-26,4.1,4.1,4.1,4.1,0
2019-09-27,4.1,4.1,4.1,4.1,0
2019-09-30,4.1,4.1,4.1,4.1,0
2019-10-01,4.1,4.1,4.1,4.1,0
2019-10-02,4.1,4.1,4.1,4.1,0
2019-10-03,4.1,4.1,4.1,4.1,0
2019-10-04,4.1,4.1,4.1,4.1,0
2019-10-07,4.1,4.1,4.1,4.1,0
2019-10-08,4.1,4.1,4.1,4.1,0
2019-10-09,4.1,4.1,4.1,4.1,0
2019-10-10,4.07,4.46,4.46,4.46,0
2019-10-11,4.07,4.46,4.46,4.46,0
2019-10-14,4.07,4.46,4.46,4.46,0
2019-10-15,4.07,4.07,4.07,4.07,0
2019-10-16,4.07,4.46,4.46,4.46,0
2019-10-17,4.07,4.46,4.46,4.46,0
2019-10-18,4.07,4.46,4.46,4.46,0
2019-10-21,4.07,4.46,4.46,4.46,0
2019-10-22,4.07,4.46,4.46,4.46,0
2019-10-23,4.07,4.46,4.46,4.46,0
2019-10-24,4.07,4.46,4.46,4.46,0
2019-10-25,4.07,4.46,4.46,4.46,0
2019-10-28,4.07,4.46,4.46,4.46,0
2019-10-29,4.07,4.46,4.46,4.46,0
2019-10-30,4.07,4.46,4.46,4.46,0
2019-10-31,4.07,4.07,4.07,4.07,0
2019-11-01,4.07,4.46,4.46,4.46,0
2019-11-04,4.07,4.46,4.46,4.46,0
2019-11-05,4.07,4.46,4.46,4.46,0
2019-11-06,4.07,4.46,4.46,4.46,0
2019-11-07,4.07,4.46,4.46,4.46,0
2019-11-08,4.07,4.46,4.46,4.46,0
2019-11-11,4.07,4.46,4.46,4.46,0
2019-11-12,4.07,4.46,4.46,4.46,0
2019-11-13,4.07,4.46,4.46,4.46,0
2019-11-14,4.07,4.46,4.46,4.46,0
2019-11-15,4.07,4.46,4.46,4.46,0
2019-11-18,4.07,4.46,4.46,4.46,0
2019-11-19,4.07,4.46,4.46,4.46,0
2019-11-20,4.07,4.46,4.46,4.46,0
2019-11-21,4.07,4.46,4.46,4.46,0
2019-11-22,4.07,4.07,4.07,4.07,0
2019-11-25,4.07,4.46,4.46,4.46,0
2019-11-26,4.07,4.46,4.46,4.46,0
2019-11-27,4.07,4.46,4.46,4.46,0
2019-11-28,4.07,4.46,4.46,4.46,0
2019-11-29,4.07,4.46,4.46,4.46,0
2019-12-02,4.07,4.07,4.07,4.07,0
2019-12-03,4.07,4.46,4.46,4.46,0
2019-12-04,4.07,4.46,4.46,4.46,0
