date,open,high,low,close,volume
2019-09-13,33.78,33.78,29.41,29.41,20
2019-09-16,27.54,29.41,27.38,29.41,380
2019-09-17,29.41,29.41,29.41,29.41,0
2019-09-18,27.46,29.57,27.46,29.57,1020
2019-09-19,29.57,29.57,29.57,29.57,10
2019-09-20,31.64,31.64,31.64,31.64,20
2019-09-23,29.98,29.98,29.98,29.98,20
2019-09-24,29.98,29.98,29.98,29.98,0
2019-09-25,29.98,29.98,29.98,29.98,0
2019-09-26,29.98,29.98,29.98,29.98,0
2019-09-27,29.98,29.98,29.98,29.98,0
2019-09-30,29.73,29.73,29.73,29.73,20
2019-10-01,31.6,31.6,31.6,31.6,20
2019-10-02,31.6,31.6,31.6,31.6,10
2019-10-03,31.6,31.6,31.6,31.6,0
2019-10-04,31.6,31.6,31.6,31.6,0
2019-10-07,31.6,31.6,31.6,31.6,0
2019-10-08,31.6,31.6,31.6,31.6,0
2019-10-09,31.6,31.6,31.6,31.6,0
2019-10-10,31.6,31.6,31.6,31.6,10
2019-10-11,31.6,31.6,31.6,31.6,0
2019-10-14,29.41,31.6,29.41,31.6,100
2019-10-15,31.6,31.6,31.6,31.6,0
2019-10-16,31.6,31.6,31.6,31.6,0
2019-10-17,31.6,31.6,31.6,31.6,0
2019-10-18,31.6,31.6,31.6,31.6,0
2019-10-21,33.78,33.78,33.78,33.78,10
2019-10-22,33.78,33.78,33.78,33.78,0
2019-10-23,32.41,32.41,32.41,32.41,1500
2019-10-24,32.41,32.41,32.41,32.41,0
2019-10-25,32.41,32.41,32.41,32.41,0
2019-10-28,32.41,32.41,32.41,32.41,0
2019-10-29,32.41,32.41,32.41,32.41,0
2019-10-30,32.41,32.41,32.41,32.41,0
2019-10-31,32.41,32.41,32.41,32.41,0
2019-11-01,32.41,32.41,32.41,32.41,10
2019-11-04,32.0,32.0,32.0,32.0,10
2019-11-05,32.0,32.0,32.0,32.0,0
2019-11-06,32.0,32.0,32.0,32.0,760
2019-11-07,32.0,32.0,32.0,32.0,0
2019-11-08,32.0,32.0,32.0,32.0,0
2019-11-11,30.95,30.95,30.87,30.87,590
2019-11-12,30.87,30.87,30.87,30.87,0
2019-11-13,30.87,30.87,30.87,30.87,0
2019-11-14,30.87,30.87,30.87,30.87,0
2019-11-15,30.87,30.87,30.87,30.87,0
2019-11-18,30.87,30.87,30.87,30.87,0
2019-11-19,30.87,30.87,30.87,30.87,0
2019-11-20,31.6,31.6,31.6,31.6,10
2019-11-21,31.6,31.6,31.6,31.6,0
2019-11-22,31.6,31.6,31.6,31.6,0
2019-11-25,31.6,31.6,31.6,31.6,0
2019-11-26,31.6,31.6,31.6,31.6,0
2019-11-27,31.6,31.6,31.6,31.6,0
2019-11-28,31.6,31.6,31.6,31.6,0
2019-11-29,31.6,31.6,31.6,31.6,0
2019-12-02,31.6,31.6,31.6,31.6,0
2019-12-03,31.6,31.6,31.6,31.6,0
2019-12-04,31.6,31.6,31.6,31.6,0
2019-12-05,31.6,31.6,31.6,31.6,0
2019-12-06,31.6,31.6,31.6,31.6,10
2019-12-09,31.6,31.6,31.6,31.6,0
2019-12-10,31.6,31.6,31.6,31.6,0
2019-12-11,31.6,31.6,31.6,31.6,0
2019-12-12,31.6,31.6,31.6,31.6,0
2019-12-13,31.6,31.6,31.6,31.6,0
2019-12-16,31.6,31.6,31.6,31.6,10
2019-12-17,29.98,29.98,29.98,29.98,100
2019-12-18,29.98,29.98,29.98,29.98,0
2019-12-19,29.98,29.98,29.98,29.98,0
2019-12-20,32.04,32.04,32.04,32.04,10
2019-12-23,32.04,32.04,32.04,32.04,0
2019-12-24,32.04,32.04,32.04,32.04,0
2019-12-25,34.27,34.27,34.27,34.27,10
2019-12-26,34.27,34.27,34.27,34.27,0
2019-12-27,32.0,32.0,32.0,32.0,10
2019-12-30,32.0,32.0,32.0,32.0,450
2019-12-31,32.0,32.0,32.0,32.0,0
2020-01-02,32.0,32.0,32.0,32.0,0
2020-01-03,34.03,34.03,34.03,34.03,10
2020-01-06,34.03,34.03,34.03,34.03,10
2020-01-07,34.03,34.03,34.03,34.03,0
2020-01-08,34.03,34.03,34.03,34.03,0
2020-01-09,32.32,36.38,32.32,32.32,1510
2020-01-10,32.0,32.0,32.0,32.0,10
2020-01-13,32.0,32.0,32.0,32.0,10
2020-01-14,32.0,32.0,32.0,32.0,0
2020-01-15,32.0,32.0,32.0,32.0,0
2020-01-16,32.0,32.0,32.0,32.0,0
2020-01-17,32.0,32.0,32.0,32.0,0
2020-01-20,32.0,32.0,32.0,32.0,0
2020-01-21,32.0,32.0,32.0,32.0,0
2020-01-22,32.0,32.0,32.0,32.0,0
2020-01-30,32.0,32.0,32.0,32.0,0
2020-01-31,32.0,32.0,32.0,32.0,0
2020-02-03,32.0,32.0,32.0,32.0,0
2020-02-04,34.23,34.23,34.23,34.23,10
2020-02-05,34.23,34.23,34.23,34.23,0
2020-02-06,32.0,32.0,32.0,32.0,300
2020-02-07,34.23,34.23,34.23,34.23,10
2020-02-10,34.43,34.43,34.43,34.43,10
2020-02-11,36.46,36.46,32.41,32.41,1030
2020-02-12,34.67,34.67,34.67,34.67,20
2020-02-13,34.67,34.67,34.67,34.67,0
2020-02-14,34.67,34.67,34.67,34.67,0
2020-02-17,32.41,32.41,32.28,32.28,20
2020-02-18,32.28,32.28,32.28,32.28,0
2020-02-19,30.38,30.38,30.38,30.38,30
2020-02-20,29.98,32.49,29.98,32.49,790
2020-02-21,34.76,34.76,32.41,32.41,30
2020-02-24,32.41,32.41,32.41,32.41,0
2020-02-25,30.79,34.67,30.79,34.67,1980
2020-02-26,32.28,32.28,32.28,32.28,10
2020-02-27,34.43,34.43,34.43,34.43,1020
2020-02-28,36.82,36.82,36.13,36.78,510
2020-03-02,36.62,36.62,36.62,36.62,100
2020-03-03,36.62,36.62,36.62,36.62,0
2020-03-04,38.89,38.89,37.1,37.1,210
2020-03-05,34.51,36.46,34.51,36.46,700
2020-03-06,33.9,36.46,33.9,36.46,20
2020-03-09,36.29,36.29,33.9,36.29,220
2020-03-10,38.08,38.08,36.46,36.46,30
2020-03-11,36.46,36.46,36.46,36.46,0
2020-03-12,36.05,36.05,36.05,36.05,40
2020-03-13,36.05,36.05,36.05,36.05,0
2020-03-16,36.05,36.05,36.05,36.05,0
2020-03-17,36.05,36.05,36.05,36.05,0
2020-03-18,36.05,36.05,36.05,36.05,0
2020-03-19,38.56,38.56,33.54,36.38,80
2020-03-20,36.38,36.38,36.38,36.38,0
2020-03-23,36.38,36.38,36.38,36.38,0
2020-03-24,33.86,35.65,33.86,35.65,70
2020-03-25,33.78,35.65,33.78,35.65,1770
2020-03-26,37.67,37.67,35.65,35.65,30
2020-03-27,35.65,35.65,35.65,35.65,0
2020-03-30,33.62,33.62,33.62,33.62,30
2020-03-31,31.27,35.97,31.27,35.97,8100
2020-04-01,35.97,35.97,35.65,35.65,40
2020-04-03,34.03,35.24,34.03,35.24,30
2020-04-06,32.81,35.65,32.81,35.65,1160
2020-04-07,35.65,35.65,35.65,35.65,0
2020-04-08,33.22,35.97,33.22,35.97,1210
2020-04-09,35.97,35.97,33.46,35.97,490
2020-04-10,35.97,35.97,35.97,35.97,0
2020-04-13,33.46,36.86,33.46,36.86,210
2020-04-14,36.86,36.86,36.86,36.86,0
2020-04-15,36.86,36.86,36.86,36.86,0
2020-04-16,36.86,36.86,36.86,36.86,0
2020-04-17,36.86,36.86,36.86,36.86,0
2020-04-20,36.86,36.86,36.86,36.86,0
