date,NgÃ y,GiÃ¡ khá»p,Khá»i lÆ°á»£ng,Má» cá»­a,Cao nháº¥t,Tháº¥p nháº¥t,NN mua,NN bÃ¡n,GiÃ¡ trá» NN (Tá» VND)
2025-11-13,12/11/2025,16.60,0,16.60,16.60,16.60,0,0,0
2025-11-13,11/11/2025,16.60,0,16.60,16.60,16.60,0,0,0
2025-11-13,10/11/2025,16.60,0,16.60,16.60,16.60,0,0,0
2025-11-13,07/11/2025,16.60,0,16.60,16.60,16.60,0,0,0
2025-11-13,06/11/2025,16.60,0,16.60,16.60,16.60,0,0,0
2025-11-13,05/11/2025,16.60,4900,17.70,17.70,16.60,0,0,0
2025-11-13,04/11/2025,15.60,0,15.60,15.60,15.60,0,0,0
2025-11-13,03/11/2025,15.60,0,15.60,15.60,15.60,0,0,0
2025-11-13,31/10/2025,15.60,0,15.60,15.60,15.60,0,0,0
2025-11-13,30/10/2025,15.60,0,15.60,15.60,15.60,0,0,0
2025-11-13,29/10/2025,15.60,0,15.60,15.60,15.60,0,0,0
2025-11-13,28/10/2025,15.60,0,15.60,15.60,15.60,0,0,0
2025-11-13,27/10/2025,15.60,100,15.60,15.60,15.60,0,0,0
2025-11-13,24/10/2025,17.70,0,17.70,17.70,17.70,0,0,0
2025-11-13,23/10/2025,17.70,0,17.70,17.70,17.70,0,0,0
2025-11-13,22/10/2025,17.70,100,17.70,17.70,17.70,0,0,0
2025-11-13,21/10/2025,15.50,0,15.50,15.50,15.50,0,0,0
2025-11-13,20/10/2025,15.50,0,15.50,15.50,15.50,0,0,0
2025-11-13,17/10/2025,15.50,0,15.50,15.50,15.50,0,0,0
2025-11-13,16/10/2025,15.50,0,15.50,15.50,15.50,0,0,0
2025-11-13,15/10/2025,15.50,4300,15.50,15.50,15.50,0,0,0
2025-11-13,14/10/2025,15.30,0,15.30,15.30,15.30,0,0,0
2025-11-13,13/10/2025,15.30,100,15.30,15.30,15.30,0,0,0
2025-11-13,10/10/2025,15.30,0,15.30,15.30,15.30,0,0,0
2025-11-13,09/10/2025,15.30,1300,15.30,15.30,15.30,0,0,0
2025-11-13,08/10/2025,15.30,300,15.30,15.30,15.30,0,0,0
2025-11-13,07/10/2025,15.40,4800,15.40,15.40,15.40,0,0,0
2025-11-13,06/10/2025,15.30,4500,15.30,15.30,15.30,0,0,0
2025-11-13,03/10/2025,15.30,4900,15.10,15.30,15.10,0,0,0
2025-11-13,02/10/2025,15.10,0,15.10,15.10,15.10,0,0,0
2025-11-13,01/10/2025,15.10,4500,15.10,15.10,15.10,0,0,0
2025-11-13,30/09/2025,15.80,0,15.80,15.80,15.80,0,0,0
2025-11-13,29/09/2025,15.80,0,15.80,15.80,15.80,0,0,0
2025-11-13,26/09/2025,15.80,100,15.80,15.80,15.80,0,0,0
2025-11-13,25/09/2025,18.40,0,18.40,18.40,18.40,0,0,0
2025-11-13,24/09/2025,18.40,0,18.40,18.40,18.40,0,0,0
2025-11-13,23/09/2025,18.40,100,18.40,18.40,18.40,0,0,0
2025-11-13,22/09/2025,18.40,0,18.40,18.40,18.40,0,0,0
2025-11-13,19/09/2025,18.40,0,18.40,18.40,18.40,0,0,0
2025-11-13,18/09/2025,18.40,0,18.40,18.40,18.40,0,0,0
2025-11-13,17/09/2025,18.40,0,18.40,18.40,18.40,0,0,0
2025-11-13,16/09/2025,18.40,0,18.40,18.40,18.40,0,0,0
2025-11-13,15/09/2025,18.40,0,18.40,18.40,18.40,0,0,0
2025-11-13,12/09/2025,18.40,0,18.40,18.40,18.40,0,0,0
2025-11-13,11/09/2025,18.40,0,18.40,18.40,18.40,0,0,0
2025-11-13,10/09/2025,18.40,0,18.40,18.40,18.40,0,0,0
2025-11-13,09/09/2025,18.40,0,18.40,18.40,18.40,0,0,0
2025-11-13,08/09/2025,18.40,0,18.40,18.40,18.40,0,0,0
2025-11-13,05/09/2025,18.40,100,18.40,18.40,18.40,0,0,0
2025-11-13,04/09/2025,18.40,0,18.40,18.40,18.40,0,0,0
2025-11-13,03/09/2025,18.40,0,18.40,18.40,18.40,0,0,0
2025-11-13,29/08/2025,18.40,0,18.40,18.40,18.40,0,0,0
2025-11-13,28/08/2025,18.40,0,18.40,18.40,18.40,0,0,0
2025-11-13,27/08/2025,18.40,0,18.40,18.40,18.40,0,0,0
2025-11-13,26/08/2025,18.40,0,18.40,18.40,18.40,0,0,0
2025-11-13,25/08/2025,18.40,0,18.40,18.40,18.40,0,0,0
2025-11-13,22/08/2025,18.40,0,18.40,18.40,18.40,0,0,0
2025-11-13,21/08/2025,18.40,0,18.40,18.40,18.40,0,0,0
