date,NgÃ y,GiÃ¡ khá»p,Khá»i lÆ°á»£ng,Má» cá»­a,Cao nháº¥t,Tháº¥p nháº¥t,NN mua,NN bÃ¡n,GiÃ¡ trá» NN (Tá» VND)
2025-11-13,12/11/2025,50,100,50,50,50,0,0,0
2025-11-13,11/11/2025,50,0,50,50,50,0,0,0
2025-11-13,10/11/2025,50,0,50,50,50,0,0,0
2025-11-13,07/11/2025,50,0,50,50,50,0,0,0
2025-11-13,06/11/2025,50,0,50,50,50,0,0,0
2025-11-13,05/11/2025,50,0,50,50,50,0,0,0
2025-11-13,04/11/2025,50,100,50,50,50,0,0,0
2025-11-13,03/11/2025,50,100,50,50,50,0,0,0
2025-11-13,31/10/2025,49.50,0,49.50,49.50,49.50,0,0,0
2025-11-13,30/10/2025,49.50,200,49.50,49.50,49.50,0,0,0
2025-11-13,29/10/2025,49,0,49,49,49,0,0,0
2025-11-13,28/10/2025,49,0,49,49,49,0,0,0
2025-11-13,27/10/2025,49,0,49,49,49,0,0,0
2025-11-13,24/10/2025,49,0,49,49,49,0,0,0
2025-11-13,23/10/2025,49,0,49,49,49,0,0,0
2025-11-13,22/10/2025,49,0,49,49,49,0,0,0
2025-11-13,21/10/2025,49,0,49,49,49,0,0,0
2025-11-13,20/10/2025,49,0,49,49,49,0,0,0
2025-11-13,17/10/2025,49,0,49,49,49,0,0,0
2025-11-13,16/10/2025,49,0,49,49,49,0,0,0
2025-11-13,15/10/2025,49,0,49,49,49,0,0,0
2025-11-13,14/10/2025,49,0,49,49,49,0,0,0
2025-11-13,13/10/2025,49,0,49,49,49,0,0,0
2025-11-13,10/10/2025,49,0,49,49,49,0,0,0
2025-11-13,09/10/2025,49,0,49,49,49,0,0,0
2025-11-13,08/10/2025,49,0,49,49,49,0,0,0
2025-11-13,07/10/2025,49,0,49,49,49,0,0,0
2025-11-13,06/10/2025,49,0,49,49,49,0,0,0
2025-11-13,03/10/2025,49,0,49,49,49,0,0,0
2025-11-13,02/10/2025,49,200,49,49,49,0,0,0
2025-11-13,01/10/2025,52.90,100,52.90,52.90,52.90,0,0,0
2025-11-13,30/09/2025,46,0,46,46,46,0,0,0
2025-11-13,29/09/2025,46,0,46,46,46,0,0,0
2025-11-13,26/09/2025,46,0,46,46,46,0,0,0
2025-11-13,25/09/2025,46,0,46,46,46,0,0,0
2025-11-13,24/09/2025,46,0,46,46,46,0,0,0
2025-11-13,23/09/2025,46,0,46,46,46,0,0,0
2025-11-13,22/09/2025,46,0,46,46,46,0,0,0
2025-11-13,19/09/2025,46,0,46,46,46,0,0,0
2025-11-13,18/09/2025,46,0,46,46,46,0,0,0
2025-11-13,17/09/2025,46,0,46,46,46,0,0,0
2025-11-13,16/09/2025,46,0,46,46,46,0,0,0
2025-11-13,15/09/2025,46,0,46,46,46,0,0,0
2025-11-13,12/09/2025,46,0,46,46,46,0,0,0
2025-11-13,11/09/2025,46,100,46,46,46,0,0,0
2025-11-13,10/09/2025,40,100,40,40,40,0,0,0
2025-11-13,09/09/2025,42.70,0,42.70,42.70,42.70,0,0,0
