date,NgÃ y,GiÃ¡ khá»p,Khá»i lÆ°á»£ng,Má» cá»­a,Cao nháº¥t,Tháº¥p nháº¥t,NN mua,NN bÃ¡n,GiÃ¡ trá» NN (Tá» VND)
2025-11-13,12/11/2025,2.40,0,2.40,2.40,2.40,0,0,0
2025-11-13,11/11/2025,2.40,0,2.40,2.40,2.40,0,0,0
2025-11-13,10/11/2025,2.40,0,2.40,2.40,2.40,0,0,0
2025-11-13,07/11/2025,2.40,1800,2.30,2.40,2.20,0,0,0
2025-11-13,06/11/2025,2.40,0,2.40,2.40,2.40,0,0,0
2025-11-13,05/11/2025,2.40,0,2.40,2.40,2.40,0,0,0
2025-11-13,04/11/2025,2.40,0,2.40,2.40,2.40,0,0,0
2025-11-13,03/11/2025,2.40,0,2.40,2.40,2.40,0,0,0
2025-11-13,31/10/2025,2.40,5000,2.40,2.50,2.30,0,0,0
2025-11-13,30/10/2025,2.40,0,2.40,2.40,2.40,0,0,0
2025-11-13,29/10/2025,2.40,0,2.40,2.40,2.40,0,0,0
2025-11-13,28/10/2025,2.40,0,2.40,2.40,2.40,0,0,0
2025-11-13,27/10/2025,2.40,0,2.40,2.40,2.40,0,0,0
2025-11-13,24/10/2025,2.40,2100,2.40,2.40,2.40,0,0,0
2025-11-13,23/10/2025,2.40,0,2.40,2.40,2.40,0,0,0
2025-11-13,22/10/2025,2.40,0,2.40,2.40,2.40,0,0,0
2025-11-13,21/10/2025,2.40,0,2.40,2.40,2.40,0,0,0
2025-11-13,20/10/2025,2.40,0,2.40,2.40,2.40,0,0,0
2025-11-13,17/10/2025,2.50,1400,2.30,2.50,2.30,0,0,0
2025-11-13,16/10/2025,2.40,0,2.40,2.40,2.40,0,0,0
2025-11-13,15/10/2025,2.40,0,2.40,2.40,2.40,0,0,0
2025-11-13,14/10/2025,2.40,0,2.40,2.40,2.40,0,0,0
2025-11-13,13/10/2025,2.40,0,2.40,2.40,2.40,0,0,0
2025-11-13,10/10/2025,2.50,5200,2.50,2.50,2.30,0,0,0
2025-11-13,09/10/2025,2.40,0,2.40,2.40,2.40,0,0,0
2025-11-13,08/10/2025,2.40,0,2.40,2.40,2.40,0,0,0
2025-11-13,07/10/2025,2.40,0,2.40,2.40,2.40,0,0,0
2025-11-13,06/10/2025,2.40,0,2.40,2.40,2.40,0,0,0
2025-11-13,03/10/2025,2.50,8100,2.40,2.50,2.40,0,0,0
2025-11-13,02/10/2025,2.40,0,2.40,2.40,2.40,0,0,0
2025-11-13,01/10/2025,2.40,0,2.40,2.40,2.40,0,0,0
