date,NgÃ y,GiÃ¡ khá»p,Khá»i lÆ°á»£ng,Má» cá»­a,Cao nháº¥t,Tháº¥p nháº¥t,NN mua,NN bÃ¡n,GiÃ¡ trá» NN (Tá» VND)
2025-11-13,12/11/2025,17,0,17,17,17,0,0,0
2025-11-13,11/11/2025,17,100,17,17,17,0,0,0
2025-11-13,10/11/2025,16.50,0,16.50,16.50,16.50,0,0,0
2025-11-13,07/11/2025,16.50,0,16.50,16.50,16.50,0,0,0
2025-11-13,06/11/2025,16.50,0,16.50,16.50,16.50,0,0,0
2025-11-13,05/11/2025,16.50,0,16.50,16.50,16.50,0,0,0
2025-11-13,04/11/2025,16.50,0,16.50,16.50,16.50,0,0,0
2025-11-13,03/11/2025,16.50,0,16.50,16.50,16.50,0,0,0
2025-11-13,31/10/2025,16.50,0,16.50,16.50,16.50,0,0,0
2025-11-13,30/10/2025,16.50,0,16.50,16.50,16.50,0,0,0
2025-11-13,29/10/2025,16.50,0,16.50,16.50,16.50,0,0,0
2025-11-13,28/10/2025,16.50,0,16.50,16.50,16.50,0,0,0
2025-11-13,27/10/2025,16.50,0,16.50,16.50,16.50,0,0,0
2025-11-13,24/10/2025,16.50,0,16.50,16.50,16.50,0,0,0
2025-11-13,23/10/2025,16.50,0,16.50,16.50,16.50,0,0,0
2025-11-13,22/10/2025,16.50,0,16.50,16.50,16.50,0,0,0
2025-11-13,21/10/2025,16.50,0,16.50,16.50,16.50,0,0,0
2025-11-13,20/10/2025,16.50,0,16.50,16.50,16.50,0,0,0
2025-11-13,17/10/2025,16.50,100,16.50,16.50,16.50,0,0,0
2025-11-13,16/10/2025,16.50,0,16.50,16.50,16.50,0,0,0
2025-11-13,15/10/2025,16.50,300,16.30,16.50,16.30,0,0,0
2025-11-13,14/10/2025,16.10,0,16.10,16.10,16.10,0,0,0
2025-11-13,13/10/2025,16.10,200,16.50,16.50,16.10,0,0,0
2025-11-13,10/10/2025,16.60,0,16.60,16.60,16.60,0,0,0
2025-11-13,09/10/2025,16.60,0,16.60,16.60,16.60,0,0,0
2025-11-13,08/10/2025,16.60,200,16.60,16.60,16.60,0,0,0
